Sample_ID,Variety,Soil_pH,N (Nitrogen),P (Phosphorus),K (Potassium),Organic_Matter (kg compost),Temperature (°C),Rainfall (mm),Elevation (m),Soil_Type,Beneficial_Microbes (CFU/g),Harmful_Microbes (CFU/g),Microbial_Activity,Soil_Organic_Carbon,Microbial_Biomass_C (g/kg),Soil_Enzyme_Activity,Disease (Yes/No),Disease_Name,Nutrient_Deficiency,Weather_Condition,Crop_Yield (kg/palm)
1480,Mangala,6.1,101,50,142,12.9,28,1556,774,Red loam,1.7 x 10^7,0,High,1.9%,316,High,No,None,None,Dry,3.89
1481,SK Local,6.2,104,57,154,14.3,24,1890,748,Laterite,1.7 x 10^7,0,High,1.9%,310,High,No,None,None,Humid,4.16
1482,Sumangala,5.7,100,60,153,12.0,28,1577,819,Alluvial,1.9 x 10^7,0,High,2.0%,329,High,No,None,None,Humid,4.8
1483,Sumangala,5.7,107,57,143,14.1,24,1845,517,Laterite,1.8 x 10^7,0,High,1.9%,334,High,No,None,None,Dry,5.07
1484,Shreemangala,6.2,109,57,151,12.0,24,1632,689,Laterite,2.0 x 10^7,0,High,1.8%,301,High,No,None,None,Dry,5.57
1485,Mangala,5.6,105,50,159,11.6,21,2417,717,Red loam,1.3 x 10^7,1.8 x 10^5,High,1.9%,330,Low,No,None,Phosphorus,Dry,2.66
1486,Mangala,6.4,99,41,122,12.5,27,1852,950,Red loam,1.4 x 10^7,1.5 x 10^5,High,1.5%,288,Low,No,None,None,Humid,2.77
1487,Shreemangala,6.1,107,54,152,14.0,24,1571,941,Laterite,1.8 x 10^7,0,High,2.0%,350,High,No,None,None,Humid,4.87
1488,Sumangala,5.2,81,51,159,11.3,26,2233,518,Red loam,1.5 x 10^7,2.0 x 10^5,High,1.4%,321,Low,No,None,None,Rainy,2.85
1489,SK Local,5.8,86,54,152,10.0,25,1638,737,Alluvial,1.0 x 10^7,0.1 x 10^5,High,1.6%,264,Low,No,None,Phosphorus,Rainy,2.3
1490,SK Local,5.5,119,53,142,12.9,25,1749,518,Red loam,1.7 x 10^7,0,High,1.8%,328,High,No,None,None,Dry,3.19
1491,Mangala,5.9,113,54,145,14.6,27,1897,511,Alluvial,1.6 x 10^7,0,High,1.8%,332,High,No,None,None,Rainy,4.89
1492,SK Local,6.3,116,52,155,13.4,26,1589,908,Laterite,1.8 x 10^7,0,High,1.8%,308,High,No,None,None,Humid,3.03
1493,Sumangala,5.5,108,57,154,13.5,27,1968,854,Laterite,1.6 x 10^7,0,High,2.0%,327,High,No,None,None,Humid,5.18
1494,Sumangala,6.0,113,54,148,12.4,26,1693,767,Red loam,1.6 x 10^7,0,High,1.9%,305,High,No,None,None,Dry,5.08
1495,Shreemangala,5.4,93,46,159,14.2,27,2244,608,Alluvial,1.2 x 10^7,2.9 x 10^5,High,1.9%,324,Low,No,None,None,Dry,3.28
1496,Sumangala,5.6,109,53,146,13.0,26,1865,939,Alluvial,1.8 x 10^7,0,High,1.9%,340,High,No,None,None,Rainy,4.91
1497,Shreemangala,5.7,105,41,157,13.0,25,2022,676,Alluvial,1.1 x 10^7,1.3 x 10^5,Low,1.7%,314,High,No,None,Nitrogen,Rainy,2.37
1498,Shreemangala,5.1,112,40,134,13.9,25,2441,904,Laterite,1.2 x 10^7,0.1 x 10^5,Moderate,1.4%,316,Low,No,None,Potassium,Dry,2.37
1499,Sumangala,6.3,119,49,146,12.5,28,2127,636,Red loam,1.4 x 10^7,0.9 x 10^5,Low,1.8%,324,Low,No,None,None,Dry,3.84
1500,Mangala,6.2,84,43,142,13.2,27,2197,994,Alluvial,1.3 x 10^7,0.9 x 10^5,Moderate,1.3%,301,Moderate,Yes,Spindle Bug,Potassium,Rainy,2.0
1501,Shreemangala,5.7,98,50,148,11.1,30,2307,957,Alluvial,1.3 x 10^7,2.4 x 10^5,High,2.0%,298,High,Yes,Koleroga (Mahali),None,Dry,1.96
1502,Sumangala,6.5,118,55,148,12.1,27,1946,969,Laterite,1.9 x 10^7,0,High,2.0%,302,High,No,None,None,Humid,4.8
1503,Shreemangala,5.5,83,45,134,11.3,27,1387,613,Alluvial,1.1 x 10^7,2.8 x 10^5,Moderate,2.0%,270,Moderate,Yes,Koleroga (Mahali),Nitrogen,Humid,1.18
1504,SK Local,6.3,115,60,157,13.8,26,1592,916,Red loam,1.9 x 10^7,0,High,2.0%,327,High,No,None,None,Rainy,3.92
1505,Mangala,6.2,120,60,123,12.1,23,2255,543,Laterite,1.4 x 10^7,0.8 x 10^5,Low,1.8%,269,Moderate,Yes,Koleroga (Mahali),None,Humid,1.75
1506,SK Local,6.9,125,60,153,14.0,20,2228,505,Laterite,1.4 x 10^7,1.6 x 10^5,Low,1.9%,312,Low,Yes,Koleroga (Mahali),None,Rainy,1.23
1507,Mangala,6.2,86,60,138,14.8,24,2181,999,Alluvial,1.4 x 10^7,0.8 x 10^5,Low,1.8%,330,Moderate,No,None,Potassium,Dry,2.5
1508,Sumangala,6.7,91,40,120,11.2,27,1970,593,Alluvial,1.1 x 10^7,1.5 x 10^5,High,1.4%,325,Moderate,No,None,None,Rainy,2.46
1509,SK Local,5.2,123,60,142,11.7,24,2129,556,Alluvial,1.2 x 10^7,2.9 x 10^5,High,1.4%,282,High,Yes,Koleroga (Mahali),None,Dry,1.2
1510,Sumangala,6.0,81,44,158,12.1,26,1386,628,Red loam,1.2 x 10^7,2.1 x 10^5,Low,2.0%,311,High,Yes,Spindle Bug,Nitrogen,Humid,1.68
1511,Sumangala,6.2,111,53,157,12.3,28,1595,774,Alluvial,1.6 x 10^7,0,High,1.8%,344,High,No,None,None,Rainy,5.22
1512,Mangala,6.0,111,57,143,12.9,26,1973,874,Laterite,1.5 x 10^7,0,High,1.9%,348,High,No,None,None,Dry,4.11
1513,Sumangala,5.8,109,55,149,13.1,25,1724,845,Alluvial,1.7 x 10^7,0,High,1.8%,321,High,No,None,None,Rainy,4.49
1514,Mangala,5.5,99,55,127,12.4,22,2178,730,Alluvial,1.4 x 10^7,0.2 x 10^5,Low,1.4%,296,High,No,None,None,Humid,2.94
1515,Shreemangala,6.3,113,50,153,12.6,25,1613,742,Laterite,1.9 x 10^7,0,High,1.9%,341,High,No,None,None,Humid,5.52
1516,Shreemangala,6.2,108,59,140,12.1,27,1507,614,Red loam,1.9 x 10^7,0,High,1.8%,308,High,No,None,None,Dry,4.84
1517,Mangala,6.3,118,59,159,13.9,27,1844,666,Laterite,1.6 x 10^7,0,High,1.9%,321,High,No,None,None,Humid,4.77
1518,Mangala,5.8,109,51,157,12.6,25,1770,586,Laterite,1.6 x 10^7,0,High,2.0%,300,High,No,None,None,Dry,4.12
1519,Mangala,7.0,96,47,122,13.4,29,1944,538,Laterite,1.4 x 10^7,1.2 x 10^5,Moderate,1.6%,346,High,Yes,Spindle Bug,None,Rainy,1.73
1520,Shreemangala,5.7,110,55,149,14.7,24,1885,859,Alluvial,1.6 x 10^7,0,High,2.0%,321,High,No,None,None,Dry,5.32
1521,Sumangala,6.0,103,53,150,13.4,24,1669,926,Red loam,2.0 x 10^7,0,High,1.9%,313,High,No,None,None,Rainy,4.65
1522,SK Local,6.1,106,54,151,12.4,27,1798,577,Red loam,1.5 x 10^7,0,High,1.9%,343,High,No,None,None,Dry,2.66
1523,SK Local,6.0,111,53,159,13.2,24,1778,557,Red loam,2.0 x 10^7,0,High,1.9%,311,High,No,None,None,Humid,4.06
1524,SK Local,5.5,119,54,152,13.0,25,1824,911,Laterite,1.6 x 10^7,0,High,2.0%,349,High,No,None,None,Humid,3.24
1525,Sumangala,6.4,115,59,141,12.5,26,1718,738,Laterite,2.0 x 10^7,0,High,2.0%,328,High,No,None,None,Humid,4.52
1526,SK Local,6.7,94,59,121,14.4,23,1825,620,Red loam,1.2 x 10^7,2.3 x 10^5,Moderate,1.8%,328,Moderate,Yes,Koleroga (Mahali),None,Humid,1.06
1527,SK Local,6.6,81,51,145,12.6,26,2285,579,Alluvial,1.0 x 10^7,1.1 x 10^5,Low,1.9%,329,Low,No,None,Potassium,Dry,1.32
1528,Mangala,5.9,106,59,149,12.5,25,1564,876,Alluvial,1.9 x 10^7,0,High,2.0%,323,High,No,None,None,Rainy,4.06
1529,Shreemangala,5.5,116,52,140,12.5,28,1516,861,Alluvial,1.5 x 10^7,0,High,1.9%,329,High,No,None,None,Humid,4.17
1530,SK Local,6.5,111,54,139,14.6,23,2189,702,Alluvial,1.3 x 10^7,0.1 x 10^5,Low,1.4%,350,Moderate,Yes,Spindle Bug,Potassium,Dry,1.51
1531,Shreemangala,5.5,123,54,122,14.8,22,1319,697,Red loam,1.2 x 10^7,0.9 x 10^5,High,1.6%,286,High,No,None,Potassium,Humid,3.03
1532,SK Local,6.9,86,53,138,10.8,23,2116,824,Red loam,1.2 x 10^7,0.5 x 10^5,Low,1.7%,266,Moderate,No,None,None,Dry,1.67
1533,Mangala,6.3,113,54,144,14.7,27,1638,554,Laterite,1.7 x 10^7,0,High,1.9%,332,High,No,None,None,Dry,4.25
1534,Sumangala,5.4,113,53,159,12.9,30,1314,886,Red loam,1.4 x 10^7,0.4 x 10^5,Low,1.4%,331,High,Yes,Spindle Bug,Potassium,Dry,2.1
1535,SK Local,6.1,115,51,136,11.6,30,2369,760,Red loam,1.4 x 10^7,0.6 x 10^5,Low,1.3%,331,Moderate,No,None,Nitrogen,Dry,2.09
1536,Sumangala,5.7,124,40,135,10.7,26,1881,977,Laterite,1.3 x 10^7,3.0 x 10^5,Low,1.4%,347,High,No,None,Nitrogen,Humid,2.37
1537,Mangala,5.0,114,60,121,13.6,23,1554,601,Laterite,1.2 x 10^7,2.5 x 10^5,High,2.0%,269,Moderate,Yes,Koleroga (Mahali),None,Dry,1.39
1538,Mangala,6.8,125,41,154,14.4,26,2285,549,Alluvial,1.5 x 10^7,0.7 x 10^5,High,1.5%,330,High,Yes,Spindle Bug,Potassium,Dry,2.4
1539,SK Local,5.4,128,55,128,14.1,25,1877,678,Red loam,1.3 x 10^7,1.9 x 10^5,Low,1.9%,294,Moderate,Yes,Spindle Bug,Phosphorus,Humid,1.07
1540,SK Local,5.8,113,57,154,12.5,28,1989,677,Laterite,1.9 x 10^7,0,High,1.8%,300,High,No,None,None,Rainy,3.2
1541,Mangala,6.0,119,56,147,13.7,28,1702,665,Alluvial,1.8 x 10^7,0,High,1.9%,301,High,No,None,None,Dry,4.6
1542,SK Local,5.3,90,44,146,11.4,29,1534,653,Alluvial,1.0 x 10^7,0.2 x 10^5,High,1.3%,317,Low,No,None,None,Humid,2.13
1543,Shreemangala,5.5,95,42,125,13.6,26,1927,947,Red loam,1.1 x 10^7,1.1 x 10^5,High,1.6%,270,Low,Yes,Spindle Bug,Phosphorus,Rainy,1.91
1544,Shreemangala,5.6,116,59,153,12.5,20,1886,833,Laterite,1.2 x 10^7,1.8 x 10^5,Low,1.6%,281,Low,Yes,Spindle Bug,Nitrogen,Dry,2.33
1545,Mangala,6.0,111,54,153,14.5,26,1909,625,Red loam,1.6 x 10^7,0,High,1.9%,317,High,No,None,None,Rainy,4.27
1546,Mangala,6.2,110,50,157,14.2,27,1893,521,Red loam,1.7 x 10^7,0,High,1.9%,326,High,No,None,None,Dry,4.04
1547,SK Local,6.0,120,57,155,13.9,24,1539,578,Alluvial,1.9 x 10^7,0,High,2.0%,300,High,No,None,None,Rainy,3.13
1548,Sumangala,5.7,105,51,158,13.9,26,1802,752,Laterite,1.9 x 10^7,0,High,1.9%,304,High,No,None,None,Humid,5.2
1549,Shreemangala,6.2,115,57,145,14.2,25,1946,729,Red loam,1.8 x 10^7,0,High,1.9%,328,High,No,None,None,Rainy,5.57
1550,Shreemangala,6.2,111,43,130,11.4,20,1512,685,Red loam,1.0 x 10^7,0.2 x 10^5,High,1.7%,258,High,No,None,Phosphorus,Rainy,3.57
1551,Shreemangala,6.2,111,50,122,10.3,24,2217,939,Laterite,1.1 x 10^7,1.5 x 10^5,Low,2.0%,339,Moderate,Yes,Spindle Bug,Nitrogen,Rainy,1.83
1552,Mangala,6.0,102,59,147,12.7,24,1940,653,Alluvial,1.7 x 10^7,0,High,1.9%,338,High,No,None,None,Rainy,4.08
1553,Shreemangala,5.7,107,59,149,14.0,25,1593,742,Red loam,1.9 x 10^7,0,High,1.9%,349,High,No,None,None,Humid,5.6
1554,Sumangala,6.1,128,53,128,13.0,23,1965,937,Red loam,1.3 x 10^7,0.9 x 10^5,High,1.5%,299,Moderate,Yes,Koleroga (Mahali),Potassium,Rainy,2.01
1555,Shreemangala,6.2,101,51,155,14.4,27,1544,681,Alluvial,1.7 x 10^7,0,High,1.9%,319,High,No,None,None,Rainy,5.72
1556,SK Local,5.7,118,53,159,12.7,27,1722,609,Red loam,1.9 x 10^7,0,High,2.0%,315,High,No,None,None,Humid,4.14
1557,Shreemangala,7.0,91,49,156,13.9,24,1404,827,Alluvial,1.2 x 10^7,1.4 x 10^5,High,1.9%,326,Low,Yes,Spindle Bug,Phosphorus,Dry,1.6
1558,SK Local,6.0,113,41,135,14.6,27,2296,709,Laterite,1.5 x 10^7,0.7 x 10^5,High,1.9%,264,High,No,None,None,Humid,2.81
1559,SK Local,6.3,89,53,150,10.1,24,2380,638,Alluvial,1.0 x 10^7,2.3 x 10^5,Moderate,1.4%,346,Low,No,None,Potassium,Dry,1.82
1560,Sumangala,5.6,120,53,155,12.2,28,1505,532,Alluvial,1.8 x 10^7,0,High,1.8%,346,High,No,None,None,Dry,5.02
1561,Mangala,6.0,100,53,160,12.6,28,1796,537,Laterite,1.7 x 10^7,0,High,1.9%,323,High,No,None,None,Rainy,4.5
1562,Sumangala,5.2,107,58,153,11.6,22,1668,900,Red loam,1.2 x 10^7,2.2 x 10^5,Low,1.7%,312,High,Yes,Spindle Bug,Phosphorus,Rainy,1.69
1563,Mangala,5.8,113,57,150,13.1,24,1867,615,Red loam,1.7 x 10^7,0,High,1.9%,302,High,No,None,None,Rainy,4.37
1564,SK Local,5.8,102,55,142,13.3,25,1540,573,Alluvial,1.9 x 10^7,0,High,1.9%,301,High,No,None,None,Humid,3.83
1565,SK Local,6.4,120,53,160,13.2,25,1744,728,Red loam,1.6 x 10^7,0,High,1.8%,303,High,No,None,None,Rainy,3.35
1566,Shreemangala,6.1,113,60,150,13.0,27,1745,836,Red loam,1.8 x 10^7,0,High,1.9%,345,High,No,None,None,Rainy,5.08
1567,Sumangala,5.5,114,59,147,13.5,28,1941,916,Alluvial,1.5 x 10^7,0.2 x 10^5,High,1.6%,257,Low,Yes,Spindle Bug,Nitrogen,Dry,2.66
1568,Shreemangala,6.2,111,44,131,10.0,29,1311,857,Red loam,1.1 x 10^7,0.1 x 10^5,Low,1.7%,306,Moderate,Yes,Spindle Bug,None,Dry,2.23
1569,Sumangala,5.9,114,57,142,14.6,27,1949,813,Laterite,1.6 x 10^7,0,High,2.0%,313,High,No,None,None,Dry,5.34
1570,Mangala,5.0,110,55,153,14.0,27,2357,503,Alluvial,1.2 x 10^7,2.4 x 10^5,Moderate,1.7%,343,Moderate,Yes,Spindle Bug,Phosphorus,Humid,1.76
1571,Sumangala,6.4,112,50,151,13.0,24,1588,749,Red loam,2.0 x 10^7,0,High,1.9%,328,High,No,None,None,Humid,4.26
1572,Shreemangala,6.0,107,56,144,12.3,28,1851,902,Laterite,1.6 x 10^7,0,High,1.8%,332,High,No,None,None,Dry,4.67
1573,Mangala,6.3,103,54,142,12.5,30,1554,932,Red loam,1.3 x 10^7,1.3 x 10^5,Low,1.5%,319,High,Yes,Koleroga (Mahali),Nitrogen,Rainy,1.27
1574,Sumangala,6.5,90,43,127,13.9,20,1760,715,Red loam,1.5 x 10^7,0.2 x 10^5,Low,1.8%,271,Moderate,Yes,Spindle Bug,Nitrogen,Dry,1.98
1575,Sumangala,5.7,113,60,160,14.4,25,1958,690,Alluvial,2.0 x 10^7,0,High,2.0%,335,High,No,None,None,Dry,5.72
1576,Shreemangala,6.9,93,54,156,12.1,28,1805,763,Laterite,1.2 x 10^7,1.3 x 10^5,Moderate,1.3%,294,Moderate,No,None,Potassium,Rainy,2.44
1577,Sumangala,5.6,123,52,139,12.4,21,1756,559,Alluvial,1.3 x 10^7,0.2 x 10^5,Low,1.6%,338,Low,No,None,None,Humid,3.9
1578,Shreemangala,5.7,91,58,143,11.9,26,2076,945,Red loam,1.1 x 10^7,2.4 x 10^5,Low,1.8%,271,Moderate,No,None,Phosphorus,Dry,2.51
1579,Sumangala,5.9,111,52,157,12.6,25,1711,533,Laterite,1.8 x 10^7,0,High,1.8%,335,High,No,None,None,Rainy,4.77
1580,SK Local,6.2,112,56,158,12.1,25,1675,702,Alluvial,1.5 x 10^7,0,High,2.0%,333,High,No,None,None,Rainy,3.4
1581,Sumangala,6.2,113,51,158,14.3,25,1974,575,Alluvial,1.8 x 10^7,0,High,1.9%,309,High,No,None,None,Rainy,4.73
1582,Mangala,6.2,102,57,153,13.6,28,1936,568,Alluvial,1.5 x 10^7,0,High,1.8%,342,High,No,None,None,Humid,4.32
1583,Shreemangala,5.6,111,56,143,14.0,25,1977,693,Alluvial,1.8 x 10^7,0,High,1.9%,327,High,No,None,None,Rainy,5.29
1584,SK Local,5.6,100,54,160,12.2,24,1945,831,Laterite,1.9 x 10^7,0,High,2.0%,315,High,No,None,None,Rainy,2.99
1585,Sumangala,5.4,105,50,126,15.0,20,2221,721,Red loam,1.4 x 10^7,2.6 x 10^5,Moderate,1.5%,340,Low,Yes,Spindle Bug,None,Dry,1.92
1586,Shreemangala,6.7,122,50,160,11.7,30,1664,527,Red loam,1.4 x 10^7,1.5 x 10^5,Moderate,1.7%,310,High,No,None,Nitrogen,Dry,2.3
1587,Mangala,6.4,104,49,154,11.5,29,2441,622,Laterite,1.1 x 10^7,2.3 x 10^5,High,2.0%,343,Moderate,Yes,Koleroga (Mahali),Nitrogen,Rainy,1.52
1588,Mangala,6.2,105,56,158,10.8,24,1682,977,Alluvial,1.3 x 10^7,0.9 x 10^5,High,1.5%,269,Moderate,Yes,Koleroga (Mahali),Potassium,Humid,2.03
1589,Mangala,7.0,127,42,126,14.4,28,1890,734,Red loam,1.2 x 10^7,2.3 x 10^5,High,1.3%,293,High,No,None,Potassium,Humid,2.13
1590,Mangala,6.2,105,58,143,13.8,25,1847,813,Laterite,1.9 x 10^7,0,High,2.0%,306,High,No,None,None,Rainy,4.9
1591,Mangala,5.6,126,43,151,13.7,30,1872,542,Red loam,1.4 x 10^7,2.8 x 10^5,Moderate,1.4%,300,Moderate,No,None,None,Dry,2.97
1592,Sumangala,6.2,116,56,146,12.9,26,1854,733,Alluvial,1.9 x 10^7,0,High,1.9%,319,High,No,None,None,Humid,5.35
1593,Mangala,6.0,114,50,140,14.3,28,1962,792,Alluvial,1.8 x 10^7,0,High,1.9%,314,High,No,None,None,Dry,3.96
1594,Shreemangala,6.1,116,54,153,14.1,25,1873,678,Laterite,1.7 x 10^7,0,High,1.8%,349,High,No,None,None,Rainy,4.71
1595,Mangala,5.7,117,48,153,10.3,27,2346,912,Red loam,1.4 x 10^7,1.7 x 10^5,Moderate,1.6%,334,Low,Yes,Koleroga (Mahali),Potassium,Humid,1.18
1596,Mangala,5.0,95,59,133,12.4,22,1793,597,Laterite,1.4 x 10^7,0.7 x 10^5,Moderate,1.4%,318,Moderate,No,None,Potassium,Rainy,2.08
1597,Mangala,5.7,106,53,156,13.9,28,1825,642,Alluvial,1.8 x 10^7,0,High,2.0%,334,High,No,None,None,Rainy,4.92
1598,Sumangala,6.0,124,57,135,13.2,20,1879,978,Alluvial,1.1 x 10^7,1.8 x 10^5,Low,1.8%,316,Low,No,None,None,Rainy,3.15
1599,Mangala,6.3,105,42,155,13.9,29,2139,727,Red loam,1.0 x 10^7,2.5 x 10^5,High,1.3%,253,High,No,None,Potassium,Rainy,2.37
1600,SK Local,6.1,110,56,151,14.4,28,1874,718,Red loam,1.7 x 10^7,0,High,1.9%,320,High,No,None,None,Dry,3.1
1601,Mangala,7.0,80,59,150,13.9,22,1591,550,Alluvial,1.0 x 10^7,0.3 x 10^5,Moderate,1.5%,345,Moderate,No,None,Nitrogen,Humid,2.41
1602,Sumangala,5.8,119,56,141,14.0,24,1514,964,Red loam,1.8 x 10^7,0,High,2.0%,346,High,No,None,None,Dry,5.4
1603,SK Local,5.7,111,60,158,14.1,26,1722,662,Alluvial,1.9 x 10^7,0,High,1.9%,328,High,No,None,None,Rainy,4.1
1604,SK Local,6.1,128,56,158,14.4,28,2028,940,Red loam,1.4 x 10^7,2.1 x 10^5,Low,1.3%,327,Low,No,None,Nitrogen,Rainy,2.22
1605,Mangala,6.3,106,50,152,14.3,26,1653,559,Red loam,1.9 x 10^7,0,High,2.0%,303,High,No,None,None,Humid,4.14
1606,Sumangala,5.2,122,50,122,13.8,23,1646,512,Laterite,1.2 x 10^7,0.8 x 10^5,Moderate,1.9%,336,Low,Yes,Spindle Bug,Nitrogen,Humid,2.03
1607,Mangala,6.1,101,50,155,13.0,27,1958,727,Alluvial,1.6 x 10^7,0,High,1.9%,301,High,No,None,None,Humid,4.35
1608,Shreemangala,5.9,104,51,140,13.6,28,1895,763,Alluvial,1.8 x 10^7,0,High,1.9%,318,High,No,None,None,Humid,4.3
1609,SK Local,5.7,105,53,148,13.5,25,1518,847,Red loam,1.8 x 10^7,0,High,2.0%,321,High,No,None,None,Dry,3.07
1610,Mangala,5.7,99,45,145,12.6,21,1435,623,Laterite,1.1 x 10^7,2.8 x 10^5,Moderate,1.8%,327,High,No,None,Potassium,Rainy,2.04
1611,Sumangala,5.8,105,51,152,14.5,25,1647,512,Laterite,1.7 x 10^7,0,High,1.9%,310,High,No,None,None,Dry,5.28
1612,SK Local,5.6,109,54,153,13.7,28,1871,576,Laterite,1.8 x 10^7,0,High,1.8%,324,High,No,None,None,Humid,3.44
1613,Shreemangala,6.4,83,57,158,14.7,23,1366,664,Red loam,1.0 x 10^7,0.4 x 10^5,Low,1.8%,330,Moderate,Yes,Spindle Bug,Phosphorus,Rainy,2.52
1614,Sumangala,5.6,119,59,149,13.6,26,1734,520,Alluvial,1.9 x 10^7,0,High,1.9%,321,High,No,None,None,Humid,4.64
1615,SK Local,5.5,103,55,141,13.0,25,1520,793,Laterite,1.9 x 10^7,0,High,1.8%,337,High,No,None,None,Humid,2.81
1616,Mangala,6.3,105,51,146,12.2,26,1562,819,Alluvial,1.8 x 10^7,0,High,2.0%,300,High,No,None,None,Rainy,3.9
1617,Shreemangala,5.9,82,44,136,14.5,28,1641,937,Alluvial,1.4 x 10^7,2.7 x 10^5,Moderate,1.9%,327,Low,Yes,Spindle Bug,Nitrogen,Dry,1.82
1618,SK Local,6.2,105,52,145,12.5,24,1564,613,Alluvial,1.6 x 10^7,0,High,2.0%,310,High,No,None,None,Rainy,3.46
1619,SK Local,6.5,119,50,150,13.5,26,1635,810,Red loam,1.8 x 10^7,0,High,1.9%,326,High,No,None,None,Humid,4.06
1620,Sumangala,6.4,117,40,155,11.3,21,2299,648,Alluvial,1.4 x 10^7,0.9 x 10^5,High,1.3%,303,High,No,None,None,Rainy,3.96
1621,Mangala,5.7,115,50,152,12.2,25,1609,998,Alluvial,1.7 x 10^7,0,High,1.9%,348,High,No,None,None,Dry,4.22
1622,Shreemangala,5.5,111,59,146,12.8,27,1649,773,Alluvial,1.6 x 10^7,0,High,1.9%,346,High,No,None,None,Humid,5.03
1623,Sumangala,6.6,108,46,121,13.4,22,2419,958,Red loam,1.2 x 10^7,1.4 x 10^5,Moderate,1.4%,304,Moderate,No,None,Nitrogen,Dry,1.99
1624,Sumangala,5.5,92,54,137,14.0,29,1563,656,Laterite,1.4 x 10^7,0.5 x 10^5,Moderate,1.8%,279,Moderate,No,None,Potassium,Dry,2.93
1625,Shreemangala,5.0,82,56,152,14.1,24,1337,688,Laterite,1.2 x 10^7,1.3 x 10^5,Moderate,1.6%,277,High,No,None,Phosphorus,Dry,2.34
1626,SK Local,6.9,124,49,140,14.4,26,2301,698,Red loam,1.4 x 10^7,1.7 x 10^5,Moderate,1.8%,255,Low,Yes,Spindle Bug,Phosphorus,Humid,1.31
1627,Mangala,5.5,118,53,153,11.1,25,2414,568,Alluvial,1.2 x 10^7,0.9 x 10^5,High,1.4%,325,Moderate,Yes,Koleroga (Mahali),Potassium,Dry,1.78
1628,Sumangala,5.6,114,50,152,13.5,24,1782,659,Laterite,1.8 x 10^7,0,High,2.0%,304,High,No,None,None,Humid,4.35
1629,Sumangala,5.2,91,51,143,10.9,28,1493,706,Laterite,1.2 x 10^7,1.4 x 10^5,Low,1.3%,310,Low,No,None,Phosphorus,Rainy,1.9
1630,Sumangala,5.9,116,55,145,14.9,23,1508,899,Red loam,1.0 x 10^7,1.0 x 10^5,High,1.7%,308,High,Yes,Spindle Bug,Nitrogen,Dry,3.04
1631,SK Local,5.3,92,51,141,11.6,30,1646,705,Alluvial,1.1 x 10^7,2.7 x 10^5,Low,1.7%,330,Low,Yes,Koleroga (Mahali),None,Dry,1.15
1632,SK Local,6.4,122,41,123,12.2,28,1815,819,Red loam,1.1 x 10^7,1.6 x 10^5,Moderate,1.8%,255,Moderate,No,None,None,Humid,1.75
1633,Mangala,7.0,129,41,137,10.8,28,1814,861,Alluvial,1.2 x 10^7,2.2 x 10^5,Moderate,1.3%,281,Low,No,None,Potassium,Dry,1.82
1634,Sumangala,5.9,120,58,152,14.6,24,1858,500,Laterite,1.9 x 10^7,0,High,1.9%,330,High,No,None,None,Rainy,5.45
1635,SK Local,5.7,105,59,144,12.9,24,1770,640,Alluvial,2.0 x 10^7,0,High,1.8%,321,High,No,None,None,Humid,3.33
1636,Mangala,5.6,109,52,147,12.7,24,1788,862,Laterite,1.6 x 10^7,0,High,1.9%,315,High,No,None,None,Humid,4.14
1637,Mangala,5.9,117,50,150,13.9,27,1764,653,Red loam,1.8 x 10^7,0,High,1.9%,348,High,No,None,None,Humid,4.93
1638,Sumangala,6.7,91,50,158,12.0,30,1989,735,Red loam,1.1 x 10^7,1.0 x 10^5,High,1.4%,308,High,Yes,Spindle Bug,Potassium,Humid,2.24
1639,SK Local,5.7,107,59,152,14.3,27,1813,514,Alluvial,1.6 x 10^7,0,High,2.0%,341,High,No,None,None,Humid,3.98
1640,Mangala,6.4,109,53,146,13.7,25,1517,592,Laterite,1.7 x 10^7,0,High,2.0%,307,High,No,None,None,Rainy,4.51
1641,Mangala,6.3,106,50,144,14.5,26,1816,677,Alluvial,1.8 x 10^7,0,High,1.9%,338,High,No,None,None,Humid,4.12
1642,Mangala,6.4,113,56,149,14.9,26,1866,861,Red loam,1.7 x 10^7,0,High,1.9%,327,High,No,None,None,Rainy,4.41
1643,SK Local,6.1,105,58,143,14.9,25,1743,755,Alluvial,1.6 x 10^7,0,High,1.9%,330,High,No,None,None,Rainy,3.89
1644,Sumangala,5.6,114,51,159,13.5,24,1673,631,Alluvial,1.6 x 10^7,0,High,1.9%,316,High,No,None,None,Humid,5.43
1645,Mangala,5.1,108,47,136,14.0,26,2431,688,Red loam,1.1 x 10^7,0.8 x 10^5,High,1.3%,278,Moderate,Yes,Spindle Bug,Potassium,Dry,1.82
1646,Sumangala,6.4,122,60,142,10.8,28,1755,724,Alluvial,1.2 x 10^7,1.2 x 10^5,Moderate,1.6%,250,Low,Yes,Spindle Bug,Potassium,Dry,2.16
1647,Mangala,5.8,106,55,152,12.2,28,1627,580,Alluvial,1.6 x 10^7,0,High,1.9%,340,High,No,None,None,Dry,4.93
1648,SK Local,6.1,114,51,150,15.0,26,1547,913,Laterite,2.0 x 10^7,0,High,1.9%,331,High,No,None,None,Dry,4.14
1649,Sumangala,6.2,86,54,140,10.7,21,1506,797,Red loam,1.2 x 10^7,2.9 x 10^5,Moderate,1.8%,303,Moderate,No,None,Potassium,Dry,2.1
